title,genre,mood,year,description
The Social Network,Drama,Inspirational,2010,Story of building Facebook and the challenges of innovation
Interstellar,Sci-Fi,Thought-Provoking,2014,Explores space travel science and human survival
The Intern,Comedy,Relaxing,2015,Light-hearted story about learning and growth across generations
Hidden Figures,Biography,Motivational,2016,Women overcoming barriers in science and technology
Inception,Sci-Fi,Thrilling,2010,A mind-bending exploration of dreams and reality
The Pursuit of Happyness,Biography,Motivational,2006,Persistence and resilience in achieving success
La La Land,Romance,Romantic,2016,Love and dreams in LA
Avengers: Endgame,Action,Thrilling,2019,Superheroes unite to save the world
Inside Out,Animation,Funny,2015,Emotions coming to life in a young girl
Schindler's List,Drama,Sad,1993,Story of courage and human suffering during WWII
The Fault in Our Stars,Romance,Sad,2014,Teenagers struggle with love and illness
Up,Animation,Heartwarming,2009,Adventure of an elderly man and a young boy in a flying house
Joker,Drama,Sad,2019,Dark psychological exploration of society and mental health
Toy Story 3,Animation,Heartwarming,2010,Friends face change and growing up
Coco,Animation,Heartwarming,2017,Young boy discovers family and culture through music
The Lion King,Animation,Heartwarming,1994,Young lion overcomes challenges to reclaim kingdom
Titanic,Romance,Sad,1997,Lovers separated by tragedy
Wonder,Drama,Inspirational,2017,Boy with facial difference inspires everyone
Forrest Gump,Drama,Inspirational,1994,A simple man lives through extraordinary events
The Intouchables,Comedy,Heartwarming,2011,Unlikely friendship between a caregiver and quadriplegic
Finding Nemo,Animation,Funny,2003,Father searches for lost son under the sea
The Grand Budapest Hotel,Comedy,Funny,2014,Adventures of a legendary concierge and lobby boy
The Revenant,Action,Thrilling,2015,Man fights for survival in harsh wilderness
Gravity,Sci-Fi,Thrilling,2013,Struggle for survival in space
The Theory of Everything,Biography,Inspirational,2014,Life story of Stephen Hawking
A Beautiful Mind,Biography,Thought-Provoking,2001,Story of genius mathematician overcoming schizophrenia
Eternal Sunshine of the Spotless Mind,Romance,Thought-Provoking,2004,Explores love and memory
Slumdog Millionaire,Drama,Inspirational,2008,Young man competes on game show while reliving his past
The Shawshank Redemption,Drama,Inspirational,1994,Story of hope and friendship in prison
The Green Mile,Drama,Sad,1999,Supernatural story of death row inmate and miracles
The Notebook,Romance,Sad,2004,Love story spanning decades
Life is Beautiful,Comedy,Heartwarming,1997,Man uses humor to protect his son during Holocaust
Spider-Man: Into the Spider-Verse,Animation,Inspirational,2018,Teenager discovers multiverse and becomes hero
The Dark Knight,Action,Thrilling,2008,Batman battles Joker to save Gotham
The Matrix,Sci-Fi,Thought-Provoking,1999,Questioning reality and human perception
Paddington 2,Animation,Relaxing,2017,A gentle bear spreads kindness through London
Legally Blonde,Comedy,Motivational,2001,A student proves her worth at Harvard Law School
Chef,Comedy,Relaxing,2014,A chef finds happiness starting a food truck business
Silver Linings Playbook,Romance,Heartwarming,2012,Finding connection through shared struggles and dance
Everything Everywhere All at Once,Action,Funny,2022,A hilarious and chaotic adventure across the multiverse
The Secret Life of Walter Mitty,Drama,Motivational,2013,A man steps out of his daydreams into a real-life journey
Deadpool,Action,Funny,2016,A fast-talking mercenary with a dark sense of humor
Despicable Me,Animation,Funny,2010,A supervillain discovers his heart through three orphans
The Wolf of Wall Street,Biography,Funny,2013,A wild and humorous look at corporate greed
The Martian,Sci-Fi,Funny,2015,An astronaut uses wit and humor to survive on Mars
About Time,Romance,Funny,2013,A young man uses time travel to win over his crush
The Disaster Artist,Biography,Funny,2017,The hilarious true story behind the worst movie ever made
Men in Black,Sci-Fi,Funny,1997,Secret agents police aliens with gadgets and humor